team_id,name,founded_year,stadium_id,league_id,coach_id,cresturl
1,Arsenal FC,1886,1,1,1,https://crests.football-data.org/57.png
2,Aston Villa FC,1872,2,1,2,https://crests.football-data.org/58.png
3,Chelsea FC,1905,3,1,3,https://crests.football-data.org/61.png
4,Everton FC,1878,4,1,4,https://crests.football-data.org/62.png
5,Fulham FC,1879,5,1,5,https://crests.football-data.org/63.png
6,Liverpool FC,1892,6,1,6,https://crests.football-data.org/64.png
7,Manchester City FC,1880,7,1,7,https://crests.football-data.org/65.png
8,Manchester United FC,1878,8,1,8,https://crests.football-data.org/66.png
9,Newcastle United FC,1881,9,1,9,https://crests.football-data.org/67.png
10,Tottenham Hotspur FC,1882,10,1,10,https://crests.football-data.org/73.png
11,Wolverhampton Wanderers FC,1877,11,1,11,https://crests.football-data.org/76.png
12,Burnley FC,1881,12,1,12,https://crests.football-data.org/328.png
13,Nottingham Forest FC,1865,13,1,13,https://crests.football-data.org/351.png
14,Crystal Palace FC,1905,14,1,14,https://crests.football-data.org/354.png
15,Sheffield United FC,,15,1,15,https://crests.football-data.org/356.png
16,Luton Town FC,1885,16,1,16,https://crests.football-data.org/389.png
17,Brighton & Hove Albion FC,1898,17,1,17,https://crests.football-data.org/397.png
18,Brentford FC,1889,18,1,18,https://crests.football-data.org/402.png
19,West Ham United FC,1895,19,1,19,https://crests.football-data.org/563.png
20,AFC Bournemouth,1890,20,1,20,https://crests.football-data.org/bournemouth.png
21,AC Milan,1899,21,2,21,https://crests.football-data.org/98.png
22,ACF Fiorentina,1926,22,2,22,https://crests.football-data.org/99.png
23,AS Roma,1927,23,2,23,https://crests.football-data.org/100.png
24,Atalanta BC,1904,24,2,24,https://crests.football-data.org/102.png
25,Bologna FC 1909,1909,25,2,25,https://crests.football-data.org/103.png
26,Cagliari Calcio,1920,26,2,26,https://crests.football-data.org/104.png
27,Genoa CFC,1893,27,2,27,https://crests.football-data.org/107.png
28,FC Internazionale Milano,1908,21,2,28,https://crests.football-data.org/108.png
29,Juventus FC,1897,28,2,29,https://crests.football-data.org/109.png
30,SS Lazio,1900,23,2,30,https://crests.football-data.org/110.png
31,SSC Napoli,1904,29,2,31,https://crests.football-data.org/113.png
32,Udinese Calcio,1896,30,2,32,https://crests.football-data.org/115.png
33,Empoli FC,1920,31,2,33,https://crests.football-data.org/445.png
34,Hellas Verona FC,1903,32,2,34,https://crests.football-data.org/450.png
35,US Salernitana 1919,1919,33,2,35,https://crests.football-data.org/455.png
36,Frosinone Calcio,1912,34,2,36,https://crests.football-data.org/470.png
37,US Sassuolo Calcio,1920,35,2,37,https://crests.football-data.org/471.png
38,Torino FC,1894,36,2,38,https://crests.football-data.org/586.png
39,US Lecce,1908,37,2,39,https://crests.football-data.org/5890.png
40,AC Monza,1912,38,2,40,https://crests.football-data.org/5911.png
41,Athletic Club,1898,39,3,41,https://crests.football-data.org/77.png
42,Club Atlético de Madrid,1903,40,3,42,https://crests.football-data.org/78.png
43,CA Osasuna,1920,41,3,43,https://crests.football-data.org/79.png
44,FC Barcelona,1899,42,3,44,https://crests.football-data.org/81.png
45,Getafe CF,1946,43,3,45,https://crests.football-data.org/82.png
46,Granada CF,1931,44,3,46,https://crests.football-data.org/83.png
47,Real Madrid CF,1902,45,3,47,https://crests.football-data.org/86.png
48,Rayo Vallecano de Madrid,1924,46,3,48,https://crests.football-data.org/87.png
49,RCD Mallorca,1916,47,3,49,https://crests.football-data.org/89.png
50,Real Betis Balompié,1907,48,3,50,https://crests.football-data.org/90.png
51,Real Sociedad de Fútbol,1903,49,3,51,https://crests.football-data.org/92.png
52,Villarreal CF,1923,50,3,52,https://crests.football-data.org/94.png
53,Valencia CF,1919,51,3,53,https://crests.football-data.org/95.png
54,Deportivo Alavés,1921,52,3,54,https://crests.football-data.org/263.png
55,Cádiz CF,1910,53,3,55,https://crests.football-data.org/264.png
56,UD Almería,1989,54,3,56,https://crests.football-data.org/267.png
57,UD Las Palmas,1949,55,3,57,https://crests.football-data.org/275.png
58,Girona FC,1930,56,3,58,https://crests.football-data.org/298.png
59,RC Celta de Vigo,1923,57,3,59,https://crests.football-data.org/558.png
60,Sevilla FC,1905,58,3,60,https://crests.football-data.org/559.png
61,1. FC Köln,1948,59,4,61,https://crests.football-data.org/1.png
62,TSG 1899 Hoffenheim,1921,60,4,62,https://crests.football-data.org/2.png
63,Bayer 04 Leverkusen,1904,61,4,63,https://crests.football-data.org/3.png
64,Borussia Dortmund,1909,62,4,64,https://crests.football-data.org/4.png
65,FC Bayern München,1900,63,4,65,https://crests.football-data.org/5.png
66,VfB Stuttgart,1893,64,4,66,https://crests.football-data.org/10.png
67,VfL Wolfsburg,1945,65,4,67,https://crests.football-data.org/11.png
68,SV Werder Bremen,1899,66,4,68,https://crests.football-data.org/12.png
69,1. FSV Mainz 05,1905,67,4,69,https://crests.football-data.org/15.png
70,FC Augsburg,1907,68,4,70,https://crests.football-data.org/16.png
71,SC Freiburg,1912,69,4,71,https://crests.football-data.org/17.png
72,Borussia Mönchengladbach,1900,70,4,72,https://crests.football-data.org/18.png
73,Eintracht Frankfurt,1899,71,4,73,https://crests.football-data.org/19.png
74,1. FC Union Berlin,1906,72,4,74,https://crests.football-data.org/28.png
75,VfL Bochum 1848,1849,73,4,75,https://crests.football-data.org/36.png
76,1. FC Heidenheim 1846,1846,74,4,76,https://crests.football-data.org/44.png
77,SV Darmstadt 98,1898,75,4,77,https://crests.football-data.org/55.png
78,RB Leipzig,2009,76,4,78,https://crests.football-data.org/721.png
79,Toulouse FC,1937,77,5,79,https://crests.football-data.org/511.png
80,Stade Brestois 29,1903,78,5,80,https://crests.football-data.org/512.png
81,Olympique de Marseille,1898,79,5,81,https://crests.football-data.org/516.png
82,Montpellier HSC,1970,80,5,82,https://crests.football-data.org/518.png
83,Lille OSC,1944,81,5,83,https://crests.football-data.org/521.png
84,OGC Nice,1904,82,5,84,https://crests.football-data.org/522.png
85,Olympique Lyonnais,1896,83,5,85,https://crests.football-data.org/523.png
86,Paris Saint-Germain FC,1904,84,5,86,https://crests.football-data.org/524.png
87,FC Lorient,1926,85,5,87,https://crests.football-data.org/525.png
88,Stade Rennais FC 1901,1901,86,5,88,https://crests.football-data.org/529.png
89,Le Havre AC,1872,87,5,89,https://crests.football-data.org/533.png
90,Clermont Foot 63,1911,88,5,90,https://crests.football-data.org/541.png
91,FC Nantes,1943,89,5,91,https://crests.football-data.org/543.png
92,FC Metz,1919,90,5,92,https://crests.football-data.org/545.png
93,Racing Club de Lens,1906,91,5,93,https://crests.football-data.org/546.png
94,Stade de Reims,1909,92,5,94,https://crests.football-data.org/547.png
95,AS Monaco FC,1919,93,5,95,https://crests.football-data.org/548.png
96,RC Strasbourg Alsace,1906,94,5,96,https://crests.football-data.org/576.png
